Goncalo Paciencia,Sturm,24,Eintracht Frankfurt
Ante Rebic,Sturm,24,Eintracht Frankfurt
Mark Flekken,Torwart,25,SC Freiburg
Constantin Frommann,Torwart,20,SC Freiburg
Alexander Schwolow,Torwart,26,SC Freiburg
Manuel Gulde,Abwehr,27,SC Freiburg
Christian Günter,Abwehr,25,SC Freiburg
Dominique Heintz,Abwehr,24,SC Freiburg
Robin Koch,Abwehr,22,SC Freiburg
Lukas Kübler,Abwehr,25,SC Freiburg
Philipp Lienhart,Abwehr,22,SC Freiburg
Keven Schlotterbeck,Abwehr,21,SC Freiburg
Caglar Söyüncü,Abwehr,22,SC Freiburg
Pascal Stenzel,Abwehr,22,SC Freiburg
Amir Abrashi,Mittelfeld,28,SC Freiburg
Mike Frantz,Mittelfeld,31,SC Freiburg
Jerome Gondorf,Mittelfeld,30,SC Freiburg
Janik Haberer,Mittelfeld,24,SC Freiburg
Nicolas Höfler,Mittelfeld,28,SC Freiburg
Patrick Kammerbauer,Mittelfeld,21,SC Freiburg
Florian Kath,Mittelfeld,23,SC Freiburg
Yoric Ravet,Mittelfeld,28,SC Freiburg
Caleb Stanko,Mittelfeld,25,SC Freiburg
Marco Terrazzino,Mittelfeld,27,SC Freiburg
Brandon Borrello,Sturm,23,SC Freiburg
Lucas Höler,Sturm,24,SC Freiburg
Tim Kleindienst,Sturm,22,SC Freiburg
Florian Niederlechner,Sturm,27,SC Freiburg
Nils Petersen,Sturm,29,SC Freiburg
Luca Waldschmidt,Sturm,22,SC Freiburg
Michael Esser,Torwart,30,Hannover 96
Philipp Tschauner,Torwart,32,Hannover 96
Leo Weinkauf,Torwart,22,Hannover 96
Miiko Albornoz,Abwehr,27,Hannover 96
Waldemar Anton,Abwehr,22,Hannover 96
Josip Elez,Abwehr,24,Hannover 96
Felipe,Abwehr,31,Hannover 96
Timo Hübers,Abwehr,22,Hannover 96
Julian Korb,Abwehr,26,Hannover 96
Matthias Ostrzolek,Abwehr,28,Hannover 96
Oliver Sorg,Abwehr,28,Hannover 96
Kevin Wimmer,Abwehr,25,Hannover 96
Takuma Asano,Mittelfeld,23,Hannover 96
Mike-Steven Bähre,Mittelfeld,22,Hannover 96
Marvin Bakalorz,Mittelfeld,28,Hannover 96
Uffe Bech,Mittelfeld,25,Hannover 96
Iver Fossum,Mittelfeld,22,Hannover 96
Genki Haraguchi,Mittelfeld,27,Hannover 96
Linton Maina,Mittelfeld,19,Hannover 96
Edgar Prib,Mittelfeld,28,Hannover 96
Noah Joel Sarenren Bazee,Mittelfeld,21,Hannover 96
Pirmin Schwegler,Mittelfeld,31,Hannover 96
Walace,Mittelfeld,23,Hannover 96
Ihlas Bebou,Sturm,24,Hannover 96
Niclas Füllkrug,Sturm,25,Hannover 96
Babacar Gueye,Sturm,23,Hannover 96
Bobby Wood,Sturm,25,Hannover 96
Oliver Baumann,Torwart,28,TSG Hoffenheim
Gregor Kobel,Torwart,20,TSG Hoffenheim
Alexander Stolz,Torwart,34,TSG Hoffenheim
Kasim Adams,Abwehr,23,TSG Hoffenheim
Kevin Akpoguma,Abwehr,23,TSG Hoffenheim
Alfons Amade,Abwehr,18,TSG Hoffenheim
Ermin Bicakcic,Abwehr,28,TSG Hoffenheim
Justin Hoogma,Abwehr,20,TSG Hoffenheim
Benjamin Hübner,Abwehr,29,TSG Hoffenheim
Havard Nordtveit,Abwehr,28,TSG Hoffenheim
Stefan Posch,Abwehr,21,TSG Hoffenheim
Kevin Vogt,Abwehr,26,TSG Hoffenheim
Nadiem Amiri,Mittelfeld,21,TSG Hoffenheim
Christoph Baumgartner,Mittelfeld,19,TSG Hoffenheim
Leonardo Bittencourt,Mittelfeld,24,TSG Hoffenheim
Joshua Brenet,Mittelfeld,24,TSG Hoffenheim
Kerem Demirbay,Mittelfeld,25,TSG Hoffenheim
Felipe Pires,Mittelfeld,23,TSG Hoffenheim
Dennis Geiger,Mittelfeld,20,TSG Hoffenheim
Vincenzo Grifo,Mittelfeld,25,TSG Hoffenheim
Florian Grillitsch,Mittelfeld,22,TSG Hoffenheim
Pavel Kaderabek,Mittelfeld,26,TSG Hoffenheim
Philipp Ochs,Mittelfeld,21,TSG Hoffenheim
Lukas Rupp,Mittelfeld,27,TSG Hoffenheim
Nico Schulz,Mittelfeld,25,TSG Hoffenheim
Steven Zuber,Mittelfeld,26,TSG Hoffenheim
Robert Zulj,Mittelfeld,26,TSG Hoffenheim
Ishak Belfodil,Sturm,26,TSG Hoffenheim
Robin Hack,Sturm,19,TSG Hoffenheim
Joelinton,Sturm,21,TSG Hoffenheim
Andrej Kramaric,Sturm,27,TSG Hoffenheim
David Otto,Sturm,19,TSG Hoffenheim
Adam Szalai,Sturm,30,TSG Hoffenheim
Peter Gulacsi,Torwart,28,RB Leipzig
Julian Krahl,Torwart,18,RB Leipzig
Marius Müller,Torwart,25,RB Leipzig
Yvon Mvogo,Torwart,24,RB Leipzig
Marcel Halstenberg,Abwehr,26,RB Leipzig
Lukas Klostermann,Abwehr,22,RB Leipzig
Ibrahima Konaté,Abwehr,19,RB Leipzig
Konrad Laimer,Abwehr,21,RB Leipzig
Nordi Mukiele,Abwehr,20,RB Leipzig
Atinc Nukan,Abwehr,25,RB Leipzig
Willi Orban,Abwehr,25,RB Leipzig
Marcelo Saracchi,Abwehr,20,RB Leipzig
