Ante Rebic,Sturm,25,Eintracht Frankfurt
Mark Flekken,Tor,26,SC Freiburg
Alexander Schwolow,Tor,27,SC Freiburg
Niclas Thiede,Tor,20,SC Freiburg
Manuel Gulde,Abwehr,28,SC Freiburg
Christian Günter,Abwehr,26,SC Freiburg
Dominique Heintz,Abwehr,25,SC Freiburg
Luca Itter,Abwehr,20,SC Freiburg
Robin Koch,Abwehr,23,SC Freiburg
Lukas Kübler,Abwehr,26,SC Freiburg
Philipp Lienhart,Abwehr,23,SC Freiburg
Nico Schlotterbeck,Abwehr,19,SC Freiburg
Amir Abrashi,Mittelfeld,29,SC Freiburg
Brandon Borrello,Mittelfeld,24,SC Freiburg
Mike Frantz,Mittelfeld,32,SC Freiburg
Jerome Gondorf,Mittelfeld,31,SC Freiburg
Janik Haberer,Mittelfeld,25,SC Freiburg
Nicolas Höfler,Mittelfeld,29,SC Freiburg
Woo-Yeong Jeong,Mittelfeld,19,SC Freiburg
Patrick Kammerbauer,Mittelfeld,22,SC Freiburg
Florian Kath,Mittelfeld,24,SC Freiburg
Chang-Hoon Kwon,Mittelfeld,25,SC Freiburg
Yoric Ravet,Mittelfeld,29,SC Freiburg
Fabian Rüdlin,Mittelfeld,22,SC Freiburg
Roland Sallai,Mittelfeld,22,SC Freiburg
Jonathan Schmid,Mittelfeld,29,SC Freiburg
Marco Terrazzino,Mittelfeld,28,SC Freiburg
Lucas Höler,Sturm,25,SC Freiburg
Tim Kleindienst,Sturm,23,SC Freiburg
Nils Petersen,Sturm,30,SC Freiburg
Luca Waldschmidt,Sturm,23,SC Freiburg
Oliver Baumann,Tor,29,TSG Hoffenheim
Philipp Pentke,Tor,34,TSG Hoffenheim
Alexander Stolz,Tor,35,TSG Hoffenheim
Kasim Adams,Abwehr,24,TSG Hoffenheim
Kevin Akpoguma,Abwehr,24,TSG Hoffenheim
Ermin Bicakcic,Abwehr,29,TSG Hoffenheim
Justin Hoogma,Abwehr,21,TSG Hoffenheim
Benjamin Hübner,Abwehr,30,TSG Hoffenheim
Ribeiro Lucas,Abwehr,20,TSG Hoffenheim
Havard Nordtveit,Abwehr,29,TSG Hoffenheim
Stefan Posch,Abwehr,22,TSG Hoffenheim
